RegionID,SizeRank,RegionName,RegionType,StateName,2015-01-31,2015-02-28,2015-03-31,2015-04-30,2015-05-31,2015-06-30,2015-07-31,2015-08-31,2015-09-30,2015-10-31,2015-11-30,2015-12-31,2016-01-31,2016-02-29,2016-03-31,2016-04-30,2016-05-31,2016-06-30,2016-07-31,2016-08-31,2016-09-30,2016-10-31,2016-11-30,2016-12-31,2017-01-31,2017-02-28,2017-03-31,2017-04-30,2017-05-31,2017-06-30,2017-07-31,2017-08-31,2017-09-30,2017-10-31,2017-11-30,2017-12-31,2018-01-31,2018-02-28,2018-03-31,2018-04-30,2018-05-31,2018-06-30,2018-07-31,2018-08-31,2018-09-30,2018-10-31,2018-11-30,2018-12-31,2019-01-31,2019-02-28,2019-03-31,2019-04-30,2019-05-31,2019-06-30,2019-07-31,2019-08-31,2019-09-30,2019-10-31,2019-11-30,2019-12-31,2020-01-31,2020-02-29,2020-03-31,2020-04-30,2020-05-31,2020-06-30,2020-07-31,2020-08-31,2020-09-30,2020-10-31,2020-11-30,2020-12-31,2021-01-31,2021-02-28,2021-03-31,2021-04-30,2021-05-31,2021-06-30,2021-07-31,2021-08-31,2021-09-30,2021-10-31,2021-11-30,2021-12-31,2022-01-31,2022-02-28,2022-03-31,2022-04-30,2022-05-31,2022-06-30,2022-07-31,2022-08-31,2022-09-30,2022-10-31,2022-11-30,2022-12-31,2023-01-31,2023-02-28,2023-03-31,2023-04-30,2023-05-31,2023-06-30,2023-07-31,2023-08-31,2023-09-30,2023-10-31,2023-11-30,2023-12-31,2024-01-31,2024-02-29,2024-03-31,2024-04-30,2024-05-31,2024-06-30,2024-07-31,rentalPercentChange
102001,0,United States,country,USA,1310.862067004305,1317.635431728596,1326.592064366201,1337.1661739731128,1347.094223262783,1356.1722447013306,1362.4954917710108,1365.9187213989333,1367.2317941332817,1367.1510286351756,1367.7932760252852,1369.333421029448,1373.670951206487,1379.3839519866883,1386.4195098070488,1395.3114711764715,1404.53265430547,1412.902352652977,1417.6489056214325,1419.405713839289,1418.6229214901134,1416.7530010612795,1415.5883926173815,1415.7743793911584,1421.8645563476891,1432.168332411938,1445.8763270466943,1458.0365762747867,1468.6704963363366,1476.7704986413094,1481.8765498632763,1483.4139781923466,1484.788492021234,1484.2587553973078,1485.3931741941974,1486.7566983246022,1492.3070150829656,1500.5751030176866,1512.1242663546827,1523.495112879161,1533.272268651928,1541.0182343299448,1545.8736877530137,1548.3526771601798,1548.4484931792176,1548.8556662306826,1551.1492451996046,1554.6721114161987,1559.9857374008566,1567.8284751596882,1579.652236108085,1591.7776903907757,1602.6893469199565,1610.4373206984524,1615.306993321594,1617.6809855171757,1618.3609150299458,1619.1135453652291,1620.1289752271996,1622.045186755125,1627.9930778914734,1637.532800800462,1648.134754120451,1653.9761457906504,1660.435180388805,1669.1366902804798,1682.9621239874425,1695.484969471072,1706.6199864600724,1715.6048205634847,1722.902606423103,1730.805268316792,1742.6220459645942,1757.6867056565743,1775.885201490346,1796.161149486212,1820.60540962364,1846.1246761630937,1870.490204933873,1893.728561334333,1912.9933467252752,1928.6071940653649,1940.7676405810164,1953.330901189891,1968.0358812824156,1987.1173738722948,2007.801555021395,2030.7307051807495,2050.214833569861,2070.178370590816,2085.8800826252,2099.4823026645836,2105.888249891182,2110.200427503842,2109.4199531324193,2114.13027037871,2119.4365749388194,2130.1632419893526,2142.603847855386,2157.6954913782206,2171.262772399961,2182.049142942143,2192.1005150219307,2202.6272963218507,2210.267557473592,2213.3479894356524,2213.517002409044,2214.817775560148,2222.7060315869453,2233.8193779554485,2249.433872212649,2262.554935932365,2275.422072481808,2285.166407565756,2294.365188851052,75.02720130534661
394299,251,"Abilene, TX",msa,TX,975.3427555569648,976.7310219204658,972.5940313331146,976.6056867539488,990.0876555077078,998.6094531836508,1002.6572160471604,995.9298901698412,993.4968126626784,987.4183304388332,988.9058519916736,989.8298921993332,994.9134278821288,1000.3337073285354,998.9032623364689,1006.6156166213544,1003.2438260068848,1011.6605443895294,1007.5166126771836,1005.4373507438964,1002.2347119848024,1003.71919235263,1004.8434167497225,1000.8859147668544,1001.2697480307668,1011.222376936534,1026.7888794902665,1035.871059369423,1046.1725410574247,1051.1098363668082,1052.1406599476431,1046.6426229266758,1040.805951902891,1041.701868490912,1045.57257368994,1053.493640336415,1059.0110469719718,1063.8871317932992,1062.9300547229525,1068.9164434832564,1073.5071337461395,1084.288261043216,1087.3880913657222,1086.3412946393637,1080.9745867482693,1075.500611350019,1079.685090336564,1094.5841225339675,1103.1197976789858,1103.5155733633096,1103.5897632148794,1105.2547672415044,1119.0107184013486,1123.7432708361605,1130.2279414882537,1129.6753394138518,1128.100026445464,1134.509293389793,1133.192857606416,1142.5164749389126,1139.9762216676336,1152.7085497211376,1155.742486471523,1163.0397901924762,1158.992358039903,1167.7668692222612,1175.5425403759875,1186.3372432423616,1184.0382687076883,1190.8410127879745,1197.1692931005543,1208.8045567462989,1220.4838129028092,1229.0549020645644,1240.267114873918,1242.921599629774,1251.8593252117412,1253.4172532835926,1272.3372006965822,1295.9049912855223,1330.093274719777,1347.0659084648714,1359.6349863408725,1341.8775221060664,1334.068207356114,1325.1116680388602,1338.1328464468588,1356.1743344247047,1373.446140984252,1397.71405245779,1402.1709640567565,1424.3310863551974,1428.7528104285486,1432.1157394892434,1427.5238172974769,1430.2210244379148,1446.256173237325,1459.9222248781052,1465.6653233595316,1481.0419420264311,1466.988176715466,1479.993765886548,1468.574699502719,1477.9938158806913,1482.6500096226173,1484.8838986312658,1477.2589477402137,1460.553701778684,1464.3493880550411,1465.1732113198248,1489.057823454814,1521.4663428185318,1535.699421620598,1541.5396813248522,1534.3026113671276,57.3090693118412
394304,83,"Akron, OH",msa,OH,799.9637451222258,799.4443297265905,794.6954134253748,809.0173596929019,810.9415789915694,819.4550496056853,814.7641959928507,822.6554662421956,813.971808821453,814.5099107008826,810.699569776159,821.5984387282201,821.6375571045068,822.7076838026953,817.2921823607603,820.8946412797593,824.4238504163337,835.725364863928,835.9516635866172,837.3737290285935,833.5141733559038,837.3545582339863,836.5170573211067,834.8758344515063,832.4081757122156,834.0443292192389,841.5757517526235,847.5430330032505,857.3261033366499,859.3575456430024,862.0770783896608,857.2042552003966,855.5729790816189,855.8849415375469,854.4238026329391,855.1582776914496,857.2221159595197,864.8060990388801,870.7745300498067,871.1554089692324,868.7143667849606,872.552515815425,875.012118338433,876.7830450123884,874.0868198865419,871.743134109609,872.6506510606374,875.8029392940565,881.8626026900903,885.6310705566365,897.2839850410896,903.7113324579648,911.3100284411244,911.6021788024618,911.4354076479966,917.2126620394027,911.1795773420232,914.1027292942832,908.3639102561718,911.948124428661,911.4022817464064,917.5626931926168,930.1688199845452,943.4823630675122,950.2963216550014,953.0015104564064,958.4067110651358,963.348331435619,961.2098525914216,966.6831047530196,972.875798987925,983.9619966965134,990.9633866352484,1003.0627112683766,1012.3826252292524,1019.2152596402682,1035.0826299183627,1047.7483952004818,1061.1407606585758,1070.95901543337,1080.5774177937458,1096.8105812527094,1103.6732407087009,1106.3403832615322,1097.1828550799669,1102.5012578360902,1117.9832459189472,1148.3116533817674,1158.1273655690663,1172.3249193283516,1179.5603749809256,1194.753888872705,1206.9553969145272,1215.0304343634596,1210.1008993138066,1208.1597419736872,1211.6818188265258,1211.8500015206423,1228.7975174406192,1235.4764456617663,1262.308461009398,1273.5628201727989,1283.1850404206823,1291.9690953113804,1294.8572712171288,1291.7227308029087,1291.077986044828,1299.7070919594992,1313.4169391374194,1324.198884595943,1312.1754363551584,1318.6332935589369,1322.399549617655,1344.8700124059746,1358.3969067969067,69.80730877864451
394308,64,"Albany, NY",msa,NY,1394.8094053368177,1424.35169464804,1433.9079263054057,1437.9007111581768,1438.2009964030494,1466.9633964751215,1471.7996945610553,1474.2881608520015,1454.4233398261065,1443.9015519766597,1439.055671038211,1438.066412273926,1425.7269698198809,1424.6310698336947,1430.9347926588578,1450.7347800493787,1462.5247608953964,1472.6801129452963,1483.5291988959625,1492.6752021213442,1498.0836550027127,1471.1308301177612,1466.4193698981949,1458.8861662368672,1470.558959197614,1465.2867663290906,1467.255855723958,1484.961165305041,1517.0438707264266,1536.075238880281,1541.394895294684,1544.322402616287,1533.994505969548,1511.1257876452114,1492.8162497074748,1508.4208606129694,1531.2677736482233,1545.1789410267188,1552.6097870136612,1577.7049916412157,1594.7928268505132,1599.5905879905729,1577.688811105075,1570.8570045509043,1568.921794674979,1590.3241043113958,1593.6154241715265,1598.3830047934284,1591.6876714729156,1604.9866151795677,1587.022034153661,1603.854826389459,1598.6354965325954,1645.8688705494903,1642.7395897906374,1637.6625385662,1612.053203296303,1606.1268397218594,1619.8554519584509,1627.0733684762124,1639.1590075633462,1637.5229097607453,1653.5678612390982,1666.7120850267588,1681.2740475983042,1674.0781527090476,1680.2961385569422,1697.426105407283,1719.5432832529566,1753.0527506309377,1769.101567336117,1781.0334215180571,1771.821675365014,1782.662179283658,1796.7961925191537,1795.7023236062091,1805.0664034717597,1826.765716508443,1875.223801377187,1882.8225069126663,1897.5200229181348,1882.5566037911433,1922.8968677064825,1931.902140705139,1958.461635562271,1959.170301998585,1959.5597476870064,1949.126758293323,1960.6873794270616,1980.2339785682432,2039.9931674972572,2055.78082779942,2053.23287852615,2041.0351485873364,2044.7149989392192,2104.4422533344027,2131.2748594036293,2136.488510474757,2106.099734717735,2065.1536597346826,2106.5946470598556,2118.887429549646,2167.238400900855,2143.951063124701,2164.299052922619,2154.583799748712,2196.4315489047763,2196.5250399946644,2286.0160908433345,2258.880519712829,2287.9284687883296,2236.9770509296172,2297.1796440527196,2312.8026314810745,2326.492684766214,66.7964580583262
394312,62,"Albuquerque, NM",msa,NM,1122.8206796766108,1125.6799743895474,1137.171708124651,1143.7811336678865,1149.5299233225828,1154.777793109666,1153.6465692533984,1156.8178785138357,1152.9012460979911,1153.579915981018,1151.689507079541,1153.9534969869974,1155.503504200443,1158.918610475817,1165.8141567342484,1174.0779234500687,1182.8429624649052,1186.5210011173592,1187.2178944773348,1187.3413190622273,1181.113424114004,1179.8139260889875,1179.425906381526,1184.3478120488812,1184.7450004674256,1190.2747505074192,1201.196681731304,1211.5103627444496,1219.6975997935162,1225.5100284027649,1229.6778380741491,1227.3255920400914,1224.4771601964878,1221.5731992903306,1221.0259323561152,1220.9755054942664,1224.3882034126862,1236.2089254963948,1248.5987770885088,1260.2447610857562,1265.936913634475,1273.4264080795217,1277.2370018092938,1277.269714006062,1271.4451727769106,1268.9112476227872,1268.5565372820483,1272.1030717620752,1275.0083251956933,1284.499779505532,1298.981521385429,1314.2063183838743,1323.92958717104,1333.8451945292732,1342.9040323382053,1345.3253687830754,1340.699288788917,1343.4572156203385,1338.5345248707713,1336.4115225525736,1343.3713786093344,1364.7856309970812,1382.3392126136694,1385.960459211918,1390.324851091003,1397.7495968193184,1414.8042641075383,1432.8453891504764,1452.681765547584,1462.4623082868457,1470.7807543395584,1475.4352590293652,1481.6344500283924,1493.6238710598695,1510.2421175385184,1539.9153830171888,1563.26024894141,1591.6279634724376,1606.534501839178,1633.292317148716,1655.2860992681713,1669.739137671454,1671.443297816494,1704.4554079077675,1725.2923971627768,1742.003164078145,1737.3553916837634,1758.2887998174417,1792.732243563457,1813.35383017727,1831.431269516054,1836.3837225097968,1848.979456875854,1851.7561740378092,1870.1150758250196,1861.0460859530867,1870.195029926316,1859.5195801058935,1893.70969774259,1918.8564135750096,1946.8733386053748,1957.96061709394,1958.4217820420968,1976.3612897190712,1982.817446558312,1998.5092122268732,2005.9843977349449,2018.0852166054815,2016.5034143588312,2013.3899588543056,2012.5012537979424,2040.708324816352,2056.063908327938,2067.4117377610382,2060.090464351239,83.47457449256956
394318,70,"Allentown, PA",msa,PA,1251.084577386216,1247.2618262424403,1247.5784409735038,1261.9515756017572,1269.2754292765603,1281.840437401726,1288.4519714432374,1297.0995584701857,1294.725236773768,1293.1442351332726,1286.5736271617884,1282.856601924668,1281.758861918359,1289.8111350753134,1292.4990687107895,1294.5700477742191,1295.6061776290987,1302.81848881971,1310.9068464175714,1319.4888832129864,1318.92330095558,1314.123890616768,1313.6546015247109,1325.88755695494,1330.0224075356916,1339.431007280801,1341.9453844728332,1347.8485093882134,1352.1207838254215,1353.585156969082,1358.400260422193,1358.9226138493052,1360.6972781775196,1362.4268660302184,1371.6922032618984,1371.9969887264551,1377.1951183701378,1373.978896046786,1386.785328399032,1389.2806776124164,1399.566858957259,1399.1221856257964,1413.234567162931,1417.2301694097655,1422.751705505628,1418.76769125515,1413.4478343347685,1405.2521094912397,1407.2536604296856,1414.110499640082,1429.8711276947477,1446.7185120209824,1456.0276913954938,1456.6329030387424,1462.2302331264818,1467.343953454447,1480.833935188114,1463.2326220572818,1470.3363045175645,1470.330024799574,1486.4336158404838,1486.8757978102358,1483.00462853825,1491.1907113090708,1495.3078915323697,1524.591279244491,1530.480090043014,1554.4085769621947,1562.562338307465,1593.2914771779258,1602.185484241177,1612.340588924768,1609.3969318586117,1606.6635165285195,1622.0700144324694,1637.389313491518,1667.5957944773731,1685.540381723495,1713.5890392985768,1729.0822702384469,1737.6895683077007,1746.2034831462652,1759.9171077477788,1785.0451929217527,1794.6429096433574,1825.617301253941,1841.5959675561903,1880.149704225108,1895.530831360292,1923.709541070636,1931.7143122044092,1935.045659552123,1920.633578391259,1917.9291174525888,1920.7715236222373,1937.3225047572555,1949.318498958066,1973.1630026710368,1973.4663625405176,1986.0521462933996,1990.8171467175664,2012.1438168944408,2037.7018009762153,2068.363445317942,2072.370277273186,2066.05430948831,2040.1006654394248,2048.022927918689,2056.187726490865,2073.826030673843,2078.1446134661687,2078.3832996736087,2086.9725066935193,2109.186746827498,2130.2681635926224,70.27371307247743
394332,148,"Ann Arbor, MI",msa,MI,1579.8974597545312,1626.819125896688,1624.0789339519297,1632.2664042926433,1639.7243595832583,1658.301300999936,1665.059164122404,1646.5873580184132,1652.771710192315,1651.7058840941,1675.0990909172274,1670.3209342408936,1673.3303805596045,1663.6655186460046,1662.724645543659,1670.034919945044,1674.4965626549297,1702.7860716822934,1711.339273851877,1727.490364177975,1724.7061673113162,1737.0202358344563,1745.9366638162978,1734.0383959313513,1736.5450357664438,1728.8188790865552,1747.6305196042022,1754.3759542643322,1791.942356384169,1812.1499389083556,1823.9649120761096,1825.7980532827,1833.4544425723584,1834.6903381015416,1823.5534999382803,1813.4015502607044,1805.9627958434332,1829.4321251003155,1854.69302849366,1883.6773219417928,1898.3755820216652,1902.1043169661991,1903.542985038152,1881.2346981514288,1881.196196492159,1885.1229607885673,1894.7977461605465,1889.5712786824583,1893.6551093646835,1893.430581062883,1894.7588291856675,1903.4418402103183,1921.1382093703853,1950.6389764032433,1939.887688171335,1944.3683414663644,1942.4710138755595,1962.170009186072,1957.5076122565888,1948.2497644321925,1938.9887869185495,1940.8407099672768,1952.0747365048449,1979.033791030136,1993.4407167008433,2000.9825486740583,1987.4730770398364,1979.0874270751808,1979.0296155736312,1995.1190376842928,2012.2001908779632,2016.2729752505952,2012.1819389250445,2023.6753247990528,2046.0747914858855,2096.020756822727,2108.117237803978,2145.655020809819,2131.216139663291,2154.0337961684368,2145.539306190232,2149.0232220906514,2188.6284983392425,2217.7548381982965,2261.839548377945,2211.4588852704105,2237.2267002956796,2281.9744335500486,2367.7447996287738,2398.4037800712445,2406.6495820599657,2408.1627542094016,2386.6044590476927,2359.842495225991,2382.712060264507,2396.0815300290933,2428.550440754928,2438.481731261576,2466.5247953879307,2490.5845986781896,2478.5515062807885,2480.348390442575,2489.5421161241757,2485.3149889003093,2461.760176734134,2457.9514635428927,2498.199927669593,2530.8321710021214,2521.869098658085,2519.1099883223965,2565.967751467589,2600.561365973718,2650.42978079796,2643.5687155092546,2648.696581196581,67.64990441899371
394338,121,"Asheville, NC",msa,NC,1137.7432919929438,1139.8342235841712,1144.0693206733415,1153.7700200804456,1172.575584774084,1180.2623483735874,1195.4359782960487,1213.5186843140743,1215.4236841872091,1211.4046933498714,1206.0605479279382,1218.1376736119353,1219.5213557394725,1214.876405953366,1211.4515367284812,1225.7153739783948,1237.5139267736622,1255.590962601431,1264.5421190096918,1275.6924762445526,1282.1897349861297,1285.8342373448395,1288.636657708764,1280.45226661096,1276.2034804465925,1269.1101777670306,1284.758299680145,1292.4820636871038,1318.3487847131648,1325.5775949704353,1329.962309614902,1339.436154850234,1345.619730497212,1374.0570115577943,1367.147120481909,1375.1955962671632,1360.4333655860655,1364.5545704793444,1374.6604385896817,1382.4961080887056,1398.3893659692328,1404.1512627276866,1411.4138784045026,1417.6805959514977,1425.4690256537483,1429.9645046643518,1440.897720546045,1445.8176283992316,1461.6148701756,1459.968542895477,1452.3645729198277,1449.7574371269136,1462.9380958714455,1478.9338697919002,1492.2387939197988,1503.6852548867084,1510.205091497692,1493.486320747801,1490.007738757707,1499.4411698870774,1502.3925035145974,1508.2069241430977,1498.6714839235674,1507.2334484222338,1504.1830783986368,1522.0983148699916,1544.6269648548323,1571.318008581642,1599.2718983946977,1611.2001624373156,1608.685688579597,1592.5053447029488,1615.4569071331491,1640.6778922856302,1673.8480279954456,1703.695190207295,1715.5279011660618,1746.8865151731438,1763.1787947849914,1810.28779219298,1825.421003566728,1850.105482610962,1863.6720229254752,1879.8955092483911,1885.1896030520252,1896.4350508160855,1923.027344365002,1969.5368493178469,2013.0112130058887,2035.430803372936,2036.419653829971,2035.2559201893828,2050.215965394829,2071.771863510137,2086.554038703513,2080.223931310905,2092.000246352837,2088.873418946185,2104.9293963272767,2118.0320360018072,2137.2987493775395,2159.9208283025473,2157.873769085359,2160.5115323752407,2178.684621086423,2188.5362081155745,2210.704088895678,2197.357668054396,2190.249243765163,2181.1585394322983,2187.3849165472743,2217.535251552627,2247.545294925974,2265.6098403852207,2270.4968989328313,99.56144016948532
394346,217,"Athens, GA",msa,GA,900.4152191318925,907.321259480455,913.8036950721928,928.9494335921368,931.4468559808516,938.6489241695314,935.4464274163662,937.4080815584322,941.7733783614618,945.8025143453614,958.2485961614868,947.0358381724176,946.8016920942948,943.6134352674194,956.1081645678956,968.979256736228,978.1029823057812,992.12031078478,998.7977257389076,994.222874978926,988.9386247203264,1004.1050570774388,1023.540490355196,1027.361045029225,1016.6100787905248,1016.2981425671207,1026.904879632474,1025.8024852802826,1024.2874489753158,1031.054189328636,1052.869088870414,1060.47821542368,1077.5278155544122,1076.8422016445522,1091.5738984389693,1087.9771162602397,1104.329545736971,1111.682331342275,1113.4561907277216,1108.4520858955946,1128.0377915444528,1139.9086284137677,1160.8104511217482,1148.8668937128637,1155.0238470796512,1153.8906917124934,1169.3774287144947,1183.8569584360023,1180.0130925042376,1180.549323043025,1164.7608174731402,1176.5295082821565,1197.3108485227908,1224.6127348279367,1243.4964505803482,1226.390772444816,1254.4984099376911,1268.9834460414347,1297.5515697869907,1286.3641675321949,1285.6780877678914,1290.3540308623708,1282.5041512778953,1268.7237480286378,1273.4887399761385,1283.6823521104322,1302.43522770333,1316.975549363139,1332.6976529801066,1357.2764481638555,1364.4645961523763,1376.1578528485436,1377.061845881955,1386.518682754532,1394.9289676507228,1415.4749602381698,1434.2253176034053,1451.8056969760084,1472.773394879911,1487.2741494021582,1498.330719353758,1498.4416478817625,1512.3242865911038,1529.1591317860014,1544.2567033598468,1553.9575410641596,1560.67868592535,1583.6047811125793,1618.875410093562,1652.6169332218954,1676.065024273726,1666.6107667881065,1670.572426403524,1641.455486696489,1655.8782607599487,1670.4379878351488,1721.882044154268,1755.06030253568,1776.970776376553,1780.1149825348396,1779.007130175282,1797.8394784912823,1835.1474935146164,1832.4518202541456,1848.79422741344,1831.636703236104,1865.4515223335727,1859.2963473865932,1853.790631618456,1848.26354349172,1873.1035918524385,1902.4135590212036,1917.431459754881,1941.9532598285407,1949.539208173691,116.51557711932932
394347,9,"Atlanta, GA",msa,GA,1134.394513033007,1141.176687094866,1144.7110761698286,1154.998037393006,1163.5393786533652,1175.9470161655922,1183.3570890620738,1186.0771841061987,1186.5787373756325,1186.037196131682,1185.4167939605038,1187.976079115634,1193.5475213315833,1203.7248204321752,1211.692798515229,1219.9207597040347,1228.863048513164,1239.421676464739,1248.158121960151,1252.8123188944503,1251.8948540102606,1251.341005386196,1250.157588879694,1252.720882266867,1257.6717052185088,1267.7918985421109,1280.539203609021,1294.1888869585575,1306.34765394561,1316.972736108847,1325.9470907052205,1328.8979425677076,1332.1059559811126,1329.0206282201532,1333.7210266040393,1334.9677282390644,1343.404053399888,1349.9434262473098,1363.4380039675232,1375.7167880836234,1389.0803658830437,1396.0254832097596,1400.9059404335555,1401.969313278086,1404.4772220796492,1409.0224582556682,1414.5572126991808,1419.308396210614,1424.9149450055747,1432.588404292623,1445.6423392669665,1459.454759850369,1471.0763104343089,1482.0270896412017,1487.1368146729717,1490.8720997215137,1491.7289272329642,1494.0980147110183,1497.135389895799,1499.7140056190171,1504.9532921320742,1514.9558267871505,1528.1654086984383,1539.387775958518,1551.4715691396157,1564.138281422533,1580.3592826920606,1596.5639642137885,1612.892261762976,1627.9078741587575,1640.1890888979196,1651.779136295619,1667.2155672021083,1689.0120339973196,1713.4624978178877,1741.0564433729696,1767.6544602069016,1797.948459808061,1825.6464982980797,1859.2447487923591,1885.49146852235,1910.7843758597453,1923.287296939627,1933.065967135009,1940.479612460568,1951.9142533083004,1967.0287061016331,1982.8134964284675,2000.484277855316,2024.267969850964,2051.096417150148,2072.8665383709053,2084.843064196278,2090.9369529234964,2090.6769349283604,2100.8393601933,2102.90420360958,2111.9374255593702,2116.1789725623985,2123.2507984939953,2129.887650012505,2132.5710412562603,2141.514064113369,2149.800518322128,2155.666838959661,2150.954743481483,2142.445805623562,2142.1572864832983,2162.3254242884723,2186.1464676802407,2203.260968752551,2207.193237895632,2210.853480199282,2223.713738662254,2236.0130048954416,97.11070348154809
