GeoFips,GeoName,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
25000,Massachusetts,322389.9,335504.4,353837.9,382599.6,388180.8,388451.6,397069.9,407886,417075.6,426926.1,440373.8,447526.8,441307.6,462330.8,472664.3,483286.3,486991.8,496250.9,514398.7,521662.8,530129.4,549262.1,566706.2,556196.4,591911.5,604357.7,615148.4
26000,Michigan,423459.8,431274.3,457637.6,467654.4,453301.5,465788.4,477085.4,485082.7,493796.3,483763.6,482935.1,455256.7,416297.1,441271.5,453989.1,463302.6,472779.9,479534.9,490618.7,500159.5,505101.5,516843,517845.2,502483.7,531500,539898.2,547771.8
27000,Minnesota,225480.3,237724,247004.7,263345.6,263518.7,268982.8,280796.9,293753.9,301761.2,302272.7,304208,309290.4,296875.2,308091.9,315213.3,321053.9,329774.5,338623.9,345456.2,350603.6,354721.9,364799.7,368688.7,358127.2,374733.3,379111.5,383618.6
28000,Mississippi,88384.3,90960.1,93597.7,93957,93515.5,94561.5,98762.1,101369.5,103691.8,105879.9,107713.9,109434,105360,106711.8,106491.1,108646.5,109032.7,109299.6,109401.7,109911,110281.4,110174.8,110537.9,109894.1,114198.5,114152.9,114949.8
29000,Missouri,243724.1,249234,256290.4,262665.4,260381.1,264997.7,271970.5,279128.2,285341.7,286558.3,288320.8,297881.8,289566.8,295986.4,292984.2,296514.3,302025.7,303617.8,308009.9,308423.3,311273.8,314182.4,320880.8,315276.2,330117.5,336625.8,344115.4
30000,Montana,30144.8,31456.1,31633.4,32513.7,32689.6,33663.8,35249.5,36949.9,38849,40055,42057.7,42049.3,40938.4,42469.8,43532.2,44329.1,45114.7,46166.7,47765.6,47189.6,48470.5,49455,50318.9,50159.6,52952,53983.4,55192.6
31000,Nebraska,73974.1,75750,77421.1,80268.2,82268.1,83433.2,88310.7,90607.6,94556,97322.8,99780.7,99860.1,99986.4,103940.8,109734.2,109686.3,111382.2,115651.9,119640.8,121303.1,123219.9,125543.4,127481.8,126890.6,133495.7,137078.1,144182.9
32000,Nevada,97208.5,102779.4,110091,114810.2,116267.3,120180.1,125905.4,139373,150680.9,156297.9,157734.3,152745.6,140304.3,142614.2,144341.2,142986.1,144549.3,145303.6,151055.9,156007.4,163199.1,168638.5,175771.3,165793.9,181102.9,187226.2,192215.6
33000,New Hampshire,51026.6,54954.5,56913.1,60742.5,61719.4,63474.2,66119.4,68428.1,69556.1,71424.5,71943.5,71195.6,70498.6,72950.4,73465,74082.8,75503.4,76836.2,79319.3,80736.1,81179.6,82269.5,84031.2,83182.1,89890.1,90150.5,91254.7
34000,New Jersey,454064.1,461237.3,477827.9,503901.5,509631.5,517752.2,529815.9,536174,546357.8,555211,560823.8,573202.7,546362.2,554764.4,548479.3,560729.7,570952.4,570696.4,581414.9,587049.7,590086.7,606892.2,617110.7,595973.4,629011.3,646731.3,656480.3
35000,New Mexico,67993.2,67718.1,71421,72733.8,72996.4,75345.9,78766.8,85751,86295.9,88554.5,89392.3,89012.9,90829.2,90721,90552.3,90762.4,90104,92621.1,93503.9,93043.5,93210.1,96077,100446.2,97511.9,99572.3,101315,105463.3
36000,New York,1085934.4,1112323.6,1172149.8,1217036.4,1240755.2,1228580.8,1236563.1,1269433.1,1301438,1339568.5,1353798.9,1328095.7,1379504.6,1431624,1440346.8,1496280.1,1501818,1535375.9,1565835.2,1590567.8,1624800.7,1665186.8,1709750.7,1650567.2,1724472.2,1763524.6,1775714.1
37000,North Carolina,340580.3,351977.9,372030.3,384115.3,387433.9,393685.9,404582.5,420579.4,442305.6,470663.9,477920.8,492688.8,473610.5,482030.4,484200.3,488126.5,497456.6,509782.4,525229.1,536308.5,546810.1,556573.7,568475.6,564794.4,597316.1,609058.2,625681.9
38000,North Dakota,22695.3,23971.3,24069.6,24990.2,25329.8,26592.1,28326.7,28636.2,29629,30911.4,32529,35030.4,35971.3,38697.4,43300.4,53326.8,54690.9,60193,58694.5,54756,56530.2,58516.4,59142.3,55699.1,55401,54798.7,58014.8
39000,Ohio,501214.2,518604,530745.6,541005.9,534612.4,546688.2,557024.5,572308.5,584867.7,582637.6,585403,580389,550982.4,563816.3,580251.4,586540.9,603057.4,624973.4,633274.8,638157.5,652187.5,656212,674123.4,654586.3,686206.4,689681.3,698217.3
40000,Oklahoma,111864.6,114928.1,116968.4,121170.2,125695.7,127930.2,130147.8,134606.6,140360.1,149367.1,152879.6,158987.8,156856.8,158086.4,163859.3,172016,176086.8,186574.4,193792.6,190093.5,192538.6,196030.5,199462.1,190751.7,193518,191583,201658.8
41000,Oregon,124840.6,130425.1,133761.7,145094.2,144486.5,147432.8,154445.3,163046.1,168734.4,177222.4,180724.3,184842.6,176951.6,180738.2,185959.4,187352.4,189609.7,195808.2,205581.8,214769.3,225534.5,234308.3,239910.5,237670.4,250099.4,254708.4,260110.8
42000,Pennsylvania,521711.8,534933.6,552163.6,566250.9,577677.5,583507.4,598809.5,614957.1,626290.1,626589.9,649638.1,665148.3,645206.7,666805.8,676468.3,689007,704195,718691.6,734145.1,744847.1,754318,763855.4,772529.5,736470.6,764601.6,772335.9,789502.3
44000,Rhode Island,43434.7,45381.3,46831.2,49113.6,49705.2,51284.3,52933.1,55160.5,55885.9,57415.8,56230.5,54977.1,54481.5,56050.6,56026.6,56487.4,57037.2,57602.7,58387.9,58630,58771.6,58740.1,59866.6,58155.2,60777.3,62190.9,63172.6
45000,South Carolina,144972.7,150732.6,157645.5,161880.2,162837.1,167333,174270.8,177169.4,183267.5,187386.1,193386.6,192497.1,184081.3,188777.2,193221,195406.1,200147.3,206077.9,213212.4,220559.3,224937.6,231663.3,237511.4,233712.3,244854,250873.4,259930.2
46000,South Dakota,27116.2,28772.1,30038.3,32124.9,32396.9,35776,36141.9,37616.6,39330.6,39961.6,41646.2,43278.5,44255.8,44810.7,47630.3,48653.9,48610.1,49640.9,50860.8,51264.3,51615.1,51937.8,52360.1,52692.1,55140.4,54959.3,56309.3
47000,Tennessee,226832.8,240963.4,248457.5,251030.2,250311.4,258542.4,267589.4,281564.2,289064.3,295668.2,294819.8,298526.9,287308.8,292687,301508.9,311754.2,318347.9,323879.6,335461.1,343544.9,355417.5,362363.7,370088.3,366555.2,396576.2,412101.3,425409.7
48000,Texas,860046.9,920059.6,957247.2,989904.9,1020517,1042584.4,1052132.3,1111189.1,1143413.1,1225147.3,1288828.7,1287191.5,1285560.2,1323059.1,1370174.9,1438354.4,1511806.5,1559636.1,1634127.1,1633863.3,1667313,1746543.3,1802912.8,1772185.6,1873473.4,1924007.5,2032932.9
49000,Utah,86283.5,91312.7,95206.8,98648.5,100244.3,102828.1,104829.2,111318.9,118430.2,127539.4,133799.8,133662.9,130958.6,133739.1,138301.1,140622.5,145026.9,150076.3,155431.5,162528.2,172075,182106,192698.7,194753.7,209975.2,213898.3,219180.7
50000,Vermont,21372.2,22266.5,23561.7,24844.6,25681.8,26522.8,27548.1,28989.2,29283.2,29420.9,29296.6,30168.6,29565.7,30890.6,31663.6,31898.1,31494.6,31847.7,32042.9,32312.7,32589.2,32827.8,33207.6,32307.1,33860.8,34609.4,35073.5
51000,Virginia,319992.6,338931.5,356391.8,372914.1,386444.7,390242.4,404522.2,421744.4,442089.5,451263.1,457568.9,462034.7,460075.3,475699.3,479571.4,483041.4,488741.3,488918.6,498943.6,505107.7,515167.2,527767.5,541070.2,533828.3,562888,576964.3,590802.2
53000,Washington,281522.2,299817,322721.6,325857.6,317860.6,321977.1,327645.2,335449.3,358396.3,372145,394221.9,401093.2,390814,403471.3,411575.7,426447,439472.2,456186.5,476715.4,495724.9,527169.4,561785.7,588930.4,590401,630819.8,641143.6,672125.3
54000,West Virginia,60364.6,61725.7,63691.7,63364.6,63599.8,64465.7,65106.8,66077.6,67888.8,68900,69374.1,70966.8,70886.5,71823.8,73175.2,73124.5,73949,74111.3,74261.4,73513.3,75172.4,77406.5,76786.6,73952.9,75520.5,76525.5,80135.5
