StateName,rentalPercentChange
AL,67.96007775927534
AR,64.15853200700687
AZ,95.13334539861565
CA,80.18577239976882
CO,74.24436878136306
CT,75.07833259636345
FL,97.83374933610709
GA,93.46294875122338
HI,43.388868248670235
IA,43.1043613532086
ID,109.1340047266405
IL,61.43140126541445
IN,80.37951434369717
KS,46.811296191255856
KY,73.69953053520192
LA,37.476237014629994
MA,67.92836477059755
MD,55.552751255698176
MI,77.4183139761528
MN,57.298690001657235
MO,70.22761827505997
MS,67.96762865678583
NC,84.65333604481118
NE,69.09455638706983
NJ,99.62303213918409
NM,78.24292734940619
NV,87.17447730210503
NY,70.63489056078768
OH,72.98858921296812
OK,53.10876111595463
OR,89.1665171871982
PA,63.555283141248104
RI,90.54724252707963
SC,86.67763221982342
TN,80.7261133960743
TX,53.48213883204305
USA,75.02720130534661
UT,87.93989774896555
VA,71.49535130892998
WA,95.32596098631271
WI,61.38514858232921
WY,52.302848546286526
