RegionID,SizeRank,RegionName,RegionType,StateName,2015-01-31,2015-02-28,2015-03-31,2015-04-30,2015-05-31,2015-06-30,2015-07-31,2015-08-31,2015-09-30,2015-10-31,2015-11-30,2015-12-31,2016-01-31,2016-02-29,2016-03-31,2016-04-30,2016-05-31,2016-06-30,2016-07-31,2016-08-31,2016-09-30,2016-10-31,2016-11-30,2016-12-31,2017-01-31,2017-02-28,2017-03-31,2017-04-30,2017-05-31,2017-06-30,2017-07-31,2017-08-31,2017-09-30,2017-10-31,2017-11-30,2017-12-31,2018-01-31,2018-02-28,2018-03-31,2018-04-30,2018-05-31,2018-06-30,2018-07-31,2018-08-31,2018-09-30,2018-10-31,2018-11-30,2018-12-31,2019-01-31,2019-02-28,2019-03-31,2019-04-30,2019-05-31,2019-06-30,2019-07-31,2019-08-31,2019-09-30,2019-10-31,2019-11-30,2019-12-31,2020-01-31,2020-02-29,2020-03-31,2020-04-30,2020-05-31,2020-06-30,2020-07-31,2020-08-31,2020-09-30,2020-10-31,2020-11-30,2020-12-31,2021-01-31,2021-02-28,2021-03-31,2021-04-30,2021-05-31,2021-06-30,2021-07-31,2021-08-31,2021-09-30,2021-10-31,2021-11-30,2021-12-31,2022-01-31,2022-02-28,2022-03-31,2022-04-30,2022-05-31,2022-06-30,2022-07-31,2022-08-31,2022-09-30,2022-10-31,2022-11-30,2022-12-31,2023-01-31,2023-02-28,2023-03-31,2023-04-30,2023-05-31,2023-06-30,2023-07-31,2023-08-31,2023-09-30,2023-10-31,2023-11-30,2023-12-31,2024-01-31,2024-02-29,2024-03-31,2024-04-30,2024-05-31,2024-06-30,2024-07-31
102001,0,United States,country,,1310.862067004305,1317.635431728596,1326.592064366201,1337.1661739731128,1347.094223262783,1356.1722447013306,1362.4954917710108,1365.9187213989333,1367.2317941332817,1367.1510286351756,1367.7932760252852,1369.3334210294481,1373.670951206487,1379.3839519866883,1386.4195098070488,1395.3114711764715,1404.53265430547,1412.902352652977,1417.6489056214325,1419.4057138392893,1418.6229214901134,1416.7530010612797,1415.5883926173817,1415.7743793911584,1421.8645563476891,1432.1683324119379,1445.8763270466943,1458.0365762747867,1468.6704963363366,1476.7704986413094,1481.8765498632763,1483.4139781923466,1484.788492021234,1484.2587553973078,1485.3931741941974,1486.7566983246022,1492.3070150829656,1500.5751030176866,1512.1242663546827,1523.495112879161,1533.272268651928,1541.0182343299448,1545.8736877530137,1548.3526771601798,1548.4484931792176,1548.8556662306826,1551.1492451996046,1554.6721114161987,1559.9857374008566,1567.8284751596882,1579.652236108085,1591.7776903907757,1602.6893469199563,1610.4373206984524,1615.306993321594,1617.6809855171757,1618.3609150299458,1619.1135453652291,1620.1289752271996,1622.045186755125,1627.9930778914734,1637.532800800462,1648.134754120451,1653.9761457906504,1660.435180388805,1669.1366902804798,1682.9621239874425,1695.484969471072,1706.6199864600724,1715.6048205634847,1722.902606423103,1730.8052683167919,1742.6220459645942,1757.6867056565745,1775.885201490346,1796.161149486212,1820.60540962364,1846.1246761630935,1870.490204933873,1893.728561334333,1912.9933467252752,1928.6071940653649,1940.7676405810164,1953.330901189891,1968.0358812824156,1987.1173738722948,2007.801555021395,2030.7307051807497,2050.214833569861,2070.178370590816,2085.8800826252,2099.4823026645836,2105.888249891182,2110.200427503842,2109.4199531324193,2114.13027037871,2119.4365749388194,2130.1632419893526,2142.603847855386,2157.6954913782206,2171.262772399961,2182.049142942143,2192.1005150219307,2202.6272963218507,2210.2675574735918,2213.3479894356524,2213.517002409044,2214.817775560148,2222.7060315869453,2233.8193779554485,2249.433872212649,2262.554935932365,2275.422072481808,2285.166407565756,2294.365188851052
394913,1,"New York, NY",msa,NY,2227.8861833766714,2251.1188939541094,2267.8516952631303,2284.70237235876,2288.0732250740525,2305.1650346658635,2308.779517912928,2308.630709238414,2306.351374293517,2308.4561038994784,2312.0632502157914,2318.150953726961,2326.7627637884707,2338.3509403684648,2347.511071305697,2361.0053040870594,2371.5081982151023,2374.982917979211,2378.209463956671,2371.961971114547,2372.10779516326,2369.2104737735176,2385.2737140706276,2393.5814255150017,2412.654154297258,2424.4712950003836,2438.095246811593,2446.905013016334,2458.977908494034,2466.1637382774115,2474.2637479831405,2470.0447662527818,2499.279453677954,2506.944951473185,2503.9026835497007,2480.756933049198,2481.789196812911,2493.8017627034837,2501.112416515548,2512.4972307060884,2528.090716645017,2542.0939458185558,2548.765446177808,2558.7900964028213,2561.3692206152596,2557.9951431174954,2554.12785840015,2552.6077389789107,2555.128750605961,2571.3638022704486,2599.1394968646496,2621.5010755240683,2633.79068472913,2640.396075939047,2640.334442914596,2634.70618216868,2615.9373907561826,2629.9897435532525,2633.366123545299,2658.1061359691344,2658.053870414491,2673.2465938953123,2686.6503463944355,2706.2197433326473,2720.8398794611635,2733.4830454900984,2744.808858447903,2756.563761770673,2765.5248319963766,2750.487585011505,2772.4432510680263,2775.7572233009346,2818.8675213007973,2840.122168949069,2889.4835055551885,2925.0648286830783,2941.982370841092,2960.6043128517617,2975.6412743064,2996.3893292904613,2991.8735168876924,3004.9545146167216,2996.174584507115,3026.1899613408686,3059.443518045091,3129.6282935246736,3172.2555550901056,3206.6211755667605,3220.636557054861,3243.707165399298,3272.5910003862678,3293.7578802758608,3297.3554573723945,3287.2379599675164,3280.7226073612064,3288.6700146672274,3293.976480672785,3331.846677985633,3384.72165584383,3439.871284131608,3462.2500325694705,3464.4701600506355,3468.3809609947,3474.92781577653,3469.3865728224746,3443.856724860168,3424.58195511269,3442.3998103611016,3485.052220396214,3519.700760790481,3562.290443698394,3572.8874802633472,3602.2089081671106,3614.929134428008,3640.093144741613
753899,2,"Los Angeles, CA",msa,CA,2621.942240116938,2633.999716807557,2654.0951883587754,2664.5786065640805,2690.731089507536,2711.528862740922,2736.1114097989735,2746.790990615378,2754.4329771262996,2755.9422803825764,2752.7740968786484,2761.2766807875264,2776.5877417713323,2797.6848719371974,2818.324595989301,2832.3451420160673,2860.781135616192,2876.4276017082016,2890.629506749899,2889.474302889804,2891.4397914916676,2889.4244419354263,2882.664779666361,2879.0922460051265,2896.116763779638,2922.4573906095425,2958.9653447378496,2986.1750954200666,3012.6662547288247,3022.374279436739,3032.509959313615,3032.030536388914,3040.682187630393,3037.5247008367405,3047.1808996131995,3046.301956096287,3061.0290382421185,3074.721012797828,3100.590036162836,3122.4691764166014,3139.8712434049935,3154.937159735158,3163.5921317467282,3166.4150215513546,3167.868439751088,3171.8766839329173,3189.1870529584266,3197.0076873007247,3212.4369384002925,3214.023871263069,3241.7629818046175,3253.3046864912376,3281.2967311619154,3287.199993402901,3298.409979988771,3295.2706819003347,3295.704750687354,3294.9817313381177,3300.447753535644,3308.399199826846,3324.573193658382,3339.404399346633,3346.5338492190413,3334.842104132267,3333.969433447313,3347.983962422707,3382.8464628810075,3396.748575342064,3409.4042537895125,3418.5884574487977,3442.1607211906767,3454.6533113406626,3478.9525642097337,3499.4288296550794,3538.120552786616,3558.5167684754274,3591.3824393412183,3619.8184759043747,3655.0019547727347,3701.8049870245245,3744.5503181719046,3773.882155502169,3798.0371798671304,3821.826807441138,3862.9271412987673,3905.5159215957406,3953.470275777301,3997.8245234456344,4035.2421566275843,4066.2676439592146,4093.007327402285,4103.510716445994,4107.900815035295,4115.784361166898,4124.308643300625,4129.382714263905,4135.64125555124,4143.7522153010095,4169.06012235926,4201.066144547035,4222.598174157432,4255.5796435726625,4274.034164018044,4305.69487368822,4299.089948171141,4292.282260732897,4288.887027830906,4298.54799933142,4324.901797101757,4338.474620624405,4359.776104514051,4378.386197927579,4403.2271482697,4421.621815514335,4438.079121875699
394463,3,"Chicago, IL",msa,IL,1583.391402190911,1588.623985860967,1598.554829377965,1611.8476856696445,1625.9197139415296,1636.6732819592307,1637.1599637653826,1636.4304082151427,1632.5186491251488,1623.8826686130813,1620.4911083437732,1623.0665741929315,1630.9754696504308,1638.1917272420303,1648.2119116409933,1657.7999905787951,1665.4415731957229,1671.4102195579248,1677.4355841012066,1683.573251575743,1676.283991084106,1668.280425208475,1656.8912873346305,1651.3141802020743,1658.756639534917,1670.516723609679,1689.3530155983497,1703.9638893531521,1717.9388750560809,1723.6219866421532,1725.5471939760957,1722.6058075575397,1718.9464296669728,1708.022643746396,1703.2150351060534,1700.0484663116617,1706.7079264119234,1715.230466577271,1730.0660020359242,1745.1255461384405,1754.0802901792354,1761.2302172290915,1763.6926106019246,1765.3812507787386,1763.579622332856,1757.0745674353802,1752.04524006988,1747.483274955736,1755.7369353183542,1761.5729039871578,1775.8009947109879,1785.5520517159553,1799.5185336688369,1808.6119658100376,1813.1972171988327,1813.148717909354,1810.6573065893695,1807.0712831250842,1803.3967250048624,1798.5180760139704,1800.61426316192,1810.0631747333389,1825.5655461967203,1833.9365679680411,1840.4587242386579,1845.5038312294198,1853.3368703951364,1860.4469870566545,1857.3766299756471,1853.4487962177523,1850.2725834412754,1857.1600539314593,1869.806428404912,1885.659665675754,1901.0044740909373,1919.7869293341485,1938.265181830059,1963.0595816301372,1980.5206051570456,1997.1540668039675,2012.522453854661,2023.6195937190555,2031.4989439226117,2038.6379045346462,2047.419528216038,2057.4444536037654,2077.4373617535066,2102.948263186303,2130.863290152279,2148.9350183549845,2165.525934265856,2180.7780986705798,2184.434050075175,2188.724107363523,2181.159120883766,2195.342045587414,2205.7123677994823,2225.1725147617167,2233.9914873057783,2254.848711063881,2275.6770155292493,2297.4270437069345,2309.2429409327137,2324.3948359331216,2337.1757974304874,2340.672441607269,2340.5581211193453,2348.0183266780773,2358.976466554729,2372.0881071789713,2383.1051075651326,2410.4426152481233,2433.382920648622,2449.2644427528135,2459.7564918400208
394514,4,"Dallas, TX",msa,TX,1409.8393840574815,1418.5481235764355,1429.0443316947353,1443.4950645652686,1457.0982719889143,1468.0622664450334,1477.0216232778332,1481.0042718458062,1481.7017090205893,1481.1329649292202,1480.9532082892092,1482.5944219699138,1485.4585363214449,1493.9478414915154,1505.9116728807235,1519.0994098468332,1530.2985687816051,1539.3016288615509,1545.9753953687384,1549.2324739360947,1549.1458676438008,1545.840525624421,1543.614158596196,1542.6465880837095,1550.89540178465,1561.1805186143954,1577.3339988905507,1590.487444881597,1604.202400482223,1611.6444562269648,1616.992377286262,1619.250967070338,1619.408414277126,1618.781841850564,1618.30016405544,1622.031152347665,1626.7398546651675,1634.9841482970785,1642.0828586269129,1654.5949183761952,1662.5570298591936,1673.5348334385324,1674.7749216516338,1678.336299068723,1678.3564878675252,1679.1112182710963,1677.1700101319113,1678.5660963167202,1684.6672557208337,1693.4682788769455,1704.5216685990908,1715.7095494627627,1728.2640182596524,1733.6076299634099,1736.115728944562,1736.994639717479,1737.1333054473487,1739.0289544435457,1738.9339397514295,1738.0012193073264,1741.5415703489045,1748.9534177747996,1760.7007554188788,1764.5016228989455,1770.196605212306,1778.7145607629764,1791.3399922910244,1802.4782404448272,1811.276213667836,1823.5685034121109,1832.3495604053107,1842.8020154411342,1855.593750123888,1869.9656703422,1889.8510404543783,1910.6004748792989,1941.9659749122457,1970.886727572866,2000.971546678285,2027.7601464309123,2052.9869635689442,2076.7108562686444,2089.023396663809,2097.818785574649,2106.175784692665,2124.7602059698493,2146.3030493295246,2172.4015784219587,2196.891717846344,2224.4167781043598,2241.13162937571,2252.846644557355,2258.8950164121534,2265.855891324759,2270.9586397137405,2274.0929209915694,2275.703162613534,2280.7454403305223,2291.1400696770597,2302.344283788322,2316.637274090582,2330.0602089904537,2343.3884465102515,2349.406398611138,2349.0692966688894,2340.4806913351936,2344.4936772649776,2343.8816543020134,2353.395281475718,2357.3937283266546,2376.9199869648764,2390.5475153729703,2397.7507966307494,2402.623029439098,2407.5817326649467
394692,5,"Houston, TX",msa,TX,1538.882202315225,1544.308765135647,1552.7483988852534,1565.1678109119352,1577.0338784050284,1587.6767888906245,1590.5853064490907,1590.5202011368656,1585.3592853542043,1581.5360710496539,1578.3479005010452,1574.4080951295782,1575.7298936052007,1575.3651329782947,1580.7522137414383,1582.509497201759,1587.3556422612653,1591.531259574709,1592.1091101770824,1589.6081571667737,1582.2489318626604,1575.016159858022,1566.3930848255952,1561.2434567115092,1564.1633545030418,1574.571866079557,1586.9363639999417,1596.4099702557053,1604.486633888814,1609.2626050825822,1610.822426924246,1609.2252719943128,1616.3658522904566,1623.0659170318681,1628.9060838128253,1627.8510888049977,1633.0237334964906,1639.1775974828226,1644.8786169787713,1648.6874346902293,1654.4798582378216,1662.54876754668,1662.4350100572321,1662.0804975436101,1658.7035912780677,1657.2264286605055,1653.0971818643422,1651.54554373145,1654.3392375069811,1661.3735516871186,1671.5323595295902,1682.7267628506054,1693.2607396689984,1699.3984432511072,1700.8537608296401,1698.1373111241903,1697.0036863867588,1696.5299614712208,1696.4663880593328,1696.4800289647194,1700.6883553142088,1707.3638385981812,1715.4796455282928,1716.1757743782414,1720.045317973093,1722.336807553501,1733.284960653625,1743.8017547416998,1753.9619832258227,1761.5725053959595,1765.4303179951246,1772.3952812963028,1786.176558226375,1800.6645220982114,1815.5693123145818,1828.2339518224558,1848.9457681953538,1870.6979730782573,1882.7769282225795,1898.2117270590495,1909.2780502482412,1930.1912670303313,1936.426436871958,1944.8673984612062,1952.1847490746684,1967.6865857344467,1979.4241431845137,1993.2314241275694,2005.7482503231524,2026.3637046279691,2040.6081645171532,2052.68710462657,2055.66408954735,2064.4145329509442,2058.8938940453777,2061.80266351237,2059.197592407729,2072.5501224176983,2083.181278055031,2093.8043623422213,2106.5641980703144,2118.5752645628745,2134.3324734849857,2141.0943719428487,2144.6027564414626,2141.0430628951294,2136.8745902838023,2133.4048357008764,2137.5994754555995,2151.070223598214,2162.9771393819483,2174.572239305814,2182.3110739062467,2192.1917628735696,2198.5748713986322
395209,6,"Washington, DC",msa,VA,2193.3380403350266,2208.720598556442,2228.0019497371222,2238.5175245662444,2248.361744553484,2257.348048030952,2261.9069323323647,2258.50855875094,2254.8797525046666,2247.2888697425274,2246.3958948263744,2241.8929470920484,2249.505242513326,2258.6316313473735,2269.5669923555083,2278.294127568328,2290.3489804832984,2300.563001532997,2307.575954913264,2308.23082573682,2301.001901348913,2293.6991422206042,2286.086897735397,2282.9998733049038,2289.1325739913973,2304.372153333921,2326.423592965736,2341.61117822685,2351.103495355116,2357.704518721816,2362.903115476363,2360.0644013345072,2358.607938106184,2347.78136237207,2344.9214893943513,2345.6864531036244,2354.139295089117,2363.9035397453545,2376.791825042721,2393.7687023673698,2406.983395154207,2415.4552211231808,2419.3489518855718,2420.351721257828,2414.597554829711,2407.1785132130403,2409.0086111347005,2410.104475245011,2415.789822351361,2424.4455006989083,2443.841248970625,2463.441711001383,2477.47592972135,2485.837895689843,2488.36015887049,2489.375701192098,2489.5342800680505,2485.6938598897186,2480.7584324877826,2473.1149583066995,2483.595941277067,2495.2018335896737,2516.954221961263,2525.2636730193603,2536.327851655973,2542.0591757031275,2552.649929514059,2562.122957861185,2569.0910010319144,2565.8007905781624,2562.476782553036,2562.0043502923745,2577.382483883704,2586.9593091219162,2606.6112724960885,2626.8043752175467,2658.721681255311,2684.1615511327877,2705.0913130077183,2722.282558271651,2734.214325493554,2748.4945934354337,2754.291185073393,2757.11388881003,2762.652580241557,2784.367975432545,2813.569907532862,2850.327796929438,2874.041160385167,2898.670994463605,2911.9460981604257,2924.409550293635,2930.536219530017,2932.1503294479976,2935.0729329436863,2945.4048965096636,2951.211055602241,2965.865658044878,2978.250157617902,3000.281585398501,3023.2443459372817,3050.068061601826,3076.054544925627,3092.690112455368,3098.122916897408,3099.9924372169135,3107.5931323496834,3104.9859091350477,3106.8017738612975,3112.499991087102,3141.8409065783762,3174.468150944103,3196.5789620507962,3225.2670529077036,3242.674743909795
394974,7,"Philadelphia, PA",msa,PA,1398.6898882726862,1407.6884717200446,1419.1615527279032,1428.2264968337747,1432.7642742414441,1435.53657055278,1437.5678793772026,1438.5453395334812,1439.5784455007367,1440.9517174695743,1435.960778903351,1434.5908656593597,1435.5890145077153,1445.7686347960544,1455.5301253431296,1465.3895717675496,1471.2182111107472,1477.3476675414756,1479.1110638007315,1479.5029924768164,1476.2253486936315,1472.915254568912,1475.6438382888573,1477.8056003157806,1486.2540705720971,1493.7804168001642,1507.4185284363293,1515.6710920833832,1522.0326247996559,1521.9089984281884,1523.6846472041434,1525.8665775459822,1528.6822623199093,1530.4970392460873,1531.1195862483914,1533.3887915375865,1534.198452749803,1540.593252003801,1553.2279272037201,1566.92463293553,1578.3153281017069,1582.0319561367137,1580.9046582612568,1578.0751987201104,1579.7722169178637,1585.799656120666,1590.51833559561,1590.1025632035926,1592.5650752217748,1599.7085428565092,1610.2353681940717,1621.2253571085166,1630.0167649607913,1638.5553539687721,1642.0842194942811,1642.6177131262184,1642.3788332145623,1644.8936497722293,1647.5635894356562,1653.1403224624994,1656.893449990425,1665.8848190854721,1673.3059508402644,1677.7394314069272,1683.262695020481,1689.183375112035,1703.5012272055985,1710.625948698016,1722.2777186624255,1726.2042372097465,1735.4547061280362,1741.7275650230022,1753.370884554758,1765.6267413928285,1774.8922487521188,1791.0891054670547,1808.2248731213463,1825.7963586247547,1839.734849115065,1855.2378431545071,1856.0644288836538,1871.23436996334,1884.7043935251722,1913.0545532655276,1924.8998734405382,1933.83181455636,1944.7081308617549,1958.6191704496637,1974.2596892211477,1992.9797885836845,2009.145539966255,2022.579421102451,2029.7566904802852,2031.6656688164774,2039.1495629233343,2040.2004277724875,2047.1761642189977,2055.9518077435805,2071.101673451185,2082.7514436969564,2089.603943027506,2098.1739012923745,2109.320533956483,2118.7956270078726,2135.92731490473,2154.2443227374824,2168.0626949617954,2166.740019314205,2171.416042691128,2178.813975347012,2191.453346772032,2197.1477779958054,2206.662286951824,2213.1681814718117,2220.592878434621
394856,8,"Miami, FL",msa,FL,1802.7136255687938,1809.2102176650917,1820.6239755649933,1830.8556501776666,1839.1184103101975,1847.2316228548054,1861.5358898946358,1870.6638862663985,1884.9345116961415,1891.4159578576346,1904.588171393654,1909.3696567924999,1917.9670669259465,1916.0681419364555,1921.2356211442816,1922.8328024525786,1932.7874010627345,1933.5531708099245,1939.6422311759245,1942.4090125588677,1950.1472902044925,1953.2512103571491,1960.6732456375312,1961.6197097086304,1967.2345112046373,1975.8412437198908,1988.9398785895066,1995.6691605043998,1997.7477419988159,2004.8735458207666,2015.391772692598,2025.4059007014496,2030.6093956275217,2036.4146698517418,2040.8292305186324,2045.1447954084638,2049.3027055882676,2056.9885279873556,2066.596276945968,2076.5522480370523,2081.9988124448987,2084.824624794448,2092.2782173334826,2100.3081407488103,2107.0311290729987,2111.7769234335906,2119.336709254714,2123.2766038847344,2124.5367543823345,2127.3087628727794,2138.8863262525497,2148.33982758898,2155.7897038251904,2162.9543130536363,2168.8345874209917,2174.4106753919814,2182.5093475349313,2196.196741600954,2210.79331923093,2215.871236031861,2212.992263086105,2219.769774430491,2222.8106535378342,2227.198828163018,2223.9765097421296,2239.8257821618467,2261.5117304914193,2281.3971159494504,2304.770976642535,2342.17002704094,2379.768338123886,2404.9002866863134,2411.1489257535827,2425.5352919422735,2437.001735507652,2466.9514561622586,2508.023342573164,2569.0290892812727,2638.331466385261,2699.95623019052,2771.272439023077,2821.583591545048,2893.448521636674,2946.533075529991,3008.769346820175,3043.2808021136248,3090.571745856672,3148.369623578268,3217.644649094689,3277.2089071323194,3315.696029854781,3343.638221357627,3348.531617013732,3359.1246038471104,3366.497876156913,3375.7135332533835,3364.508818618057,3351.428650702838,3348.2697874790256,3375.7591206672123,3403.333662167295,3436.9815463922573,3448.576967037521,3467.3517013738856,3487.1109758763514,3510.0464607187146,3522.8212924417794,3502.1439208975794,3493.307535171367,3488.278524875513,3516.724456693067,3535.0451661551115,3551.2790612486497,3554.074330692816,3568.2443691276567
394347,9,"Atlanta, GA",msa,GA,1134.3945130330067,1141.176687094866,1144.7110761698286,1154.998037393006,1163.5393786533652,1175.9470161655922,1183.3570890620738,1186.0771841061987,1186.5787373756325,1186.037196131682,1185.4167939605038,1187.9760791156339,1193.5475213315833,1203.7248204321752,1211.692798515229,1219.9207597040347,1228.8630485131641,1239.421676464739,1248.158121960151,1252.8123188944505,1251.8948540102606,1251.341005386196,1250.157588879694,1252.720882266867,1257.6717052185088,1267.7918985421109,1280.539203609021,1294.1888869585575,1306.34765394561,1316.9727361088467,1325.9470907052205,1328.8979425677076,1332.1059559811126,1329.0206282201532,1333.7210266040393,1334.9677282390644,1343.404053399888,1349.9434262473098,1363.4380039675232,1375.7167880836234,1389.0803658830437,1396.0254832097596,1400.9059404335555,1401.969313278086,1404.4772220796492,1409.0224582556682,1414.5572126991808,1419.308396210614,1424.9149450055747,1432.588404292623,1445.6423392669665,1459.454759850369,1471.0763104343087,1482.0270896412017,1487.1368146729717,1490.8720997215137,1491.7289272329642,1494.0980147110185,1497.135389895799,1499.7140056190171,1504.9532921320742,1514.9558267871503,1528.1654086984383,1539.387775958518,1551.4715691396157,1564.138281422533,1580.3592826920606,1596.5639642137883,1612.892261762976,1627.9078741587575,1640.1890888979196,1651.779136295619,1667.2155672021083,1689.0120339973196,1713.4624978178877,1741.0564433729696,1767.6544602069016,1797.948459808061,1825.6464982980795,1859.2447487923594,1885.49146852235,1910.7843758597453,1923.2872969396267,1933.065967135009,1940.4796124605678,1951.9142533083004,1967.0287061016331,1982.8134964284675,2000.484277855316,2024.267969850964,2051.096417150148,2072.8665383709053,2084.843064196278,2090.9369529234964,2090.6769349283604,2100.8393601933,2102.90420360958,2111.9374255593702,2116.1789725623985,2123.2507984939953,2129.887650012505,2132.5710412562603,2141.514064113369,2149.800518322128,2155.666838959661,2150.954743481483,2142.445805623562,2142.1572864832983,2162.3254242884723,2186.1464676802407,2203.2609687525514,2207.193237895632,2210.853480199282,2223.713738662254,2236.0130048954416
