GeoFips,GeoName,2022
0,United States,21822037
1000,Alabama,235807.3
2000,Alaska,50315.1
4000,Arizona,403474.2
5000,Arkansas,137355.5
6000,California,3167460.8
8000,Colorado,416114.4
9000,Connecticut,276668.8
10000,Delaware,75172.6
11000,District of Columbia,144029.6
12000,Florida,1218430.2
13000,Georgia,655827.3
15000,Hawaii,85211.4
16000,Idaho,91683.7
17000,Illinois,864170.9
18000,Indiana,396009.2
19000,Iowa,197846.3
20000,Kansas,174794.6
21000,Kentucky,217568.1
22000,Louisiana,231262.3
23000,Maine,72413.5
24000,Maryland,412282.6
25000,Massachusetts,604357.7
26000,Michigan,539898.2
27000,Minnesota,379111.5
28000,Mississippi,114152.9
29000,Missouri,336625.8
30000,Montana,53983.4
31000,Nebraska,137078.1
32000,Nevada,187226.2
33000,New Hampshire,90150.5
34000,New Jersey,646731.3
35000,New Mexico,101315
36000,New York,1763524.6
37000,North Carolina,609058.2
38000,North Dakota,54798.7
39000,Ohio,689681.3
40000,Oklahoma,191583
41000,Oregon,254708.4
42000,Pennsylvania,772335.9
44000,Rhode Island,62190.9
45000,South Carolina,250873.4
46000,South Dakota,54959.3
47000,Tennessee,412101.3
48000,Texas,1924007.5
49000,Utah,213898.3
50000,Vermont,34609.4
51000,Virginia,576964.3
53000,Washington,641143.6
54000,West Virginia,76525.5
55000,Wisconsin,335688.5
56000,Wyoming,37294.2
91000,New England,1140307.6
92000,Mideast,3814224.4
93000,Great Lakes,2825277.1
94000,Plains,1335231.8
95000,Southeast,4735643.3
96000,Southwest,2620456.6
97000,Rocky Mountain,812969.2
98000,Far West,4385657.8
